year,month,fruit_fly_managed_cptd,fruit_fly_unmanaged_cptd,cecid_fly_infestation_pct
2022,1,1.70,2.54,48.00
2022,2,4.60,6.47,0.00
2022,3,8.18,7.50,0.00
2022,4,9.17,18.82,0.20
2022,5,25.93,35.15,0.00
2022,6,30.50,62.53,0.00
2022,7,21.42,35.13,0.00
2022,8,5.13,9.50,0.00
2022,9,2.60,13.23,0.00
2022,10,14.03,45.35,0.00
2022,11,11.68,21.44,0.00
2022,12,8.31,10.88,0.00
2023,1,4.11,8.48,0.37
2023,2,3.40,8.40,27.40
2023,3,2.61,10.68,8.91
2023,4,3.88,9.04,7.32
2023,5,10.43,14.35,8.15
2023,6,13.06,15.92,1.96
2023,7,30.29,41.42,0.00
2023,8,2.41,3.60,0.00
2023,9,6.44,9.29,0.00
2023,10,14.21,24.54,0.00
2023,11,22.22,39.88,0.00
2023,12,18.28,25.73,0.68
2024,1,4.99,9.70,0.53
2024,2,9.16,10.12,0.13
2024,3,13.58,15.50,0.25
2024,4,9.05,12.52,0.27
2024,5,15.63,19.70,0.24
2024,6,16.51,20.02,0.15
2024,7,17.71,33.56,0.00
2024,8,11.21,14.10,0.00
2024,9,3.17,4.49,0.00
2024,10,4.23,10.12,0.00
2024,11,8.33,20.77,0.00
2024,12,6.74,19.89,0.00
2025,1,13.00,22.25,0.00
2025,2,9.07,12.64,1.05
2025,3,6.97,8.04,0.18
2025,4,13.66,20.83,0.03
2025,5,15.70,29.84,0.00
2025,6,14.47,30.22,4.82
2025,7,12.09,16.35,0.00
2025,8,12.05,12.29,0.00
2025,9,6.32,12.06,0.00
2025,10,17.83,28.97,0.00
