latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.579965,122.61905,157.0,28800,Asia/Manila,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (m/s),wind_direction_10m (°)
2022-01-01T00:00,24.3,79,0.00,8.05,25
2022-01-01T01:00,24.4,78,0.00,8.45,26
2022-01-01T02:00,24.1,80,0.10,7.78,26
2022-01-01T03:00,23.6,84,0.30,6.89,24
2022-01-01T04:00,23.0,89,0.40,6.74,21
2022-01-01T05:00,23.7,86,0.10,7.79,29
2022-01-01T06:00,23.7,87,0.10,8.13,34
2022-01-01T07:00,24.1,86,0.20,8.43,34
2022-01-01T08:00,23.6,89,0.80,6.96,32
2022-01-01T09:00,25.0,84,0.10,8.16,36
2022-01-01T10:00,26.2,78,0.10,9.90,38
2022-01-01T11:00,26.0,78,0.10,10.52,36
2022-01-01T12:00,26.2,80,0.20,10.39,39
2022-01-01T13:00,26.6,76,0.10,11.32,38
2022-01-01T14:00,26.5,77,0.10,10.54,38
2022-01-01T15:00,25.9,78,0.10,10.64,37
2022-01-01T16:00,25.4,81,0.00,9.24,36
2022-01-01T17:00,24.8,83,0.00,9.35,35
2022-01-01T18:00,24.5,81,0.10,9.52,36
2022-01-01T19:00,24.8,80,0.00,9.29,34
2022-01-01T20:00,24.3,82,0.00,8.61,31
2022-01-01T21:00,24.5,81,0.00,8.30,31
2022-01-01T22:00,24.6,80,0.00,8.58,32
2022-01-01T23:00,24.8,78,0.00,8.82,33
2022-01-02T00:00,24.9,77,0.00,8.80,32
2022-01-02T01:00,24.4,81,0.00,8.41,28
2022-01-02T02:00,24.1,82,0.00,8.45,27
2022-01-02T03:00,23.5,86,0.00,8.28,28
2022-01-02T04:00,23.5,86,0.10,8.23,27
2022-01-02T05:00,23.5,87,0.10,8.36,28
2022-01-02T06:00,23.9,85,0.00,8.14,26
2022-01-02T07:00,24.1,83,0.00,8.28,28
2022-01-02T08:00,24.7,79,0.00,8.15,29
2022-01-02T09:00,25.0,79,0.00,10.02,32
2022-01-02T10:00,25.4,78,0.00,10.57,33
2022-01-02T11:00,25.5,78,0.10,9.96,36
2022-01-02T12:00,25.3,79,0.10,10.30,36
2022-01-02T13:00,25.1,81,0.40,9.50,37
2022-01-02T14:00,25.0,83,0.30,8.63,35
2022-01-02T15:00,25.0,84,0.20,8.74,36
2022-01-02T16:00,24.8,84,0.30,8.68,38
2022-01-02T17:00,24.6,85,0.40,8.40,38
2022-01-02T18:00,24.4,87,0.30,8.18,39
2022-01-02T19:00,24.2,88,0.40,8.12,38
2022-01-02T20:00,23.6,94,0.80,6.71,33
2022-01-02T21:00,23.7,91,0.60,7.38,36
2022-01-02T22:00,23.5,91,0.30,7.12,29
2022-01-02T23:00,23.3,92,0.30,7.38,33
2022-01-03T00:00,23.5,90,0.10,7.32,32
2022-01-03T01:00,23.5,90,0.00,6.77,31
2022-01-03T02:00,23.4,90,0.10,7.19,32
2022-01-03T03:00,23.5,90,0.00,7.08,31
2022-01-03T04:00,23.6,89,0.00,7.21,34
2022-01-03T05:00,23.5,89,0.00,7.16,36
2022-01-03T06:00,23.6,88,0.00,6.47,32
2022-01-03T07:00,24.0,88,0.10,6.82,35
2022-01-03T08:00,24.7,84,0.10,7.76,38
2022-01-03T09:00,25.8,79,0.00,8.79,41
2022-01-03T10:00,26.4,76,0.00,8.99,43
2022-01-03T11:00,26.5,76,0.00,8.93,41
2022-01-03T12:00,27.0,75,0.00,8.95,40
2022-01-03T13:00,27.0,75,0.00,8.58,41
2022-01-03T14:00,26.9,76,0.00,8.65,41
2022-01-03T15:00,26.1,78,0.00,8.37,40
2022-01-03T16:00,25.8,79,0.00,7.77,35
2022-01-03T17:00,25.3,80,0.00,7.72,37
2022-01-03T18:00,24.9,80,0.00,7.18,35
2022-01-03T19:00,24.9,81,0.10,7.10,32
2022-01-03T20:00,24.4,85,0.00,6.71,33
2022-01-03T21:00,24.2,86,0.20,7.24,33
2022-01-03T22:00,24.1,87,0.30,7.22,31
2022-01-03T23:00,24.1,88,0.10,7.08,31
2022-01-04T00:00,24.0,88,0.00,6.59,30
2022-01-04T01:00,23.9,88,0.00,6.07,20
2022-01-04T02:00,23.8,88,0.20,6.59,22
2022-01-04T03:00,23.7,87,0.10,6.94,28
2022-01-04T04:00,23.8,85,0.00,6.67,30
2022-01-04T05:00,24.0,85,0.00,7.03,30
2022-01-04T06:00,24.0,85,0.00,6.81,30
2022-01-04T07:00,24.0,86,0.00,6.81,30
2022-01-04T08:00,25.1,82,0.10,7.70,30
2022-01-04T09:00,26.1,75,0.00,8.77,35
2022-01-04T10:00,26.7,72,0.00,9.04,38
2022-01-04T11:00,27.2,72,0.00,8.68,38
2022-01-04T12:00,27.6,72,0.00,8.54,38
2022-01-04T13:00,27.6,71,0.00,8.54,38
2022-01-04T14:00,27.7,70,0.00,8.39,39
2022-01-04T15:00,27.4,71,0.00,8.11,39
2022-01-04T16:00,26.7,73,0.00,8.03,39
